"month","day","min_rain","max_rain","perc10","perc25","perc75","perc90","median_rain","year","date","basin","avg_mm_rainfall","name"
4,21,34.2986680837671,274.119407281933,42.0242184060222,70.2316229049463,207.20440275429,222.468299916953,101.370423740855,2023,2023-04-21,"Sabinal",80.9804605236125,"Median"
4,22,34.2986680837671,274.176657929426,42.072583247489,70.2316229049463,207.219526267143,225.567756970462,101.426663644205,2023,2023-04-22,"Sabinal",80.9804605236125,"Median"
4,23,34.2986680837671,274.176657929426,42.072583247489,71.9083481765189,207.219526267143,225.567756970462,101.472953718088,2023,2023-04-23,"Sabinal",99.0709178682156,"Median"
4,24,34.2986680837671,284.499542341988,42.072583247489,71.9083481765189,207.737023047863,243.267932091402,113.534164240242,2023,2023-04-24,"Sabinal",99.0709178682156,"Median"
4,25,36.6787755234165,284.499542341988,42.8715349078968,88.3414654718161,209.474944049508,248.786640477267,114.475538163984,2023,2023-04-25,"Sabinal",99.1256534505136,"Median"
4,26,36.6787755234165,284.499542341988,42.8715349078968,88.3414654718161,209.474944049508,248.788992916968,114.475538163984,2023,2023-04-26,"Sabinal",99.1256534505136,"Median"
4,27,36.6787755234165,284.538446146158,42.8715349078968,88.3488054492674,209.474958209092,261.295702477663,116.682470428916,2023,2023-04-27,"Sabinal",99.2034760575044,"Median"
4,28,36.6787755234165,284.538446146158,42.8715349078968,88.3972985032472,209.590788338189,261.295702477663,118.365612669519,2023,2023-04-28,"Sabinal",99.7601965353766,"Median"
4,29,36.6787755234165,285.610647975697,42.8715349078968,92.6678819270106,209.826434232661,261.295702477663,135.27099134284,2023,2023-04-29,"Sabinal",99.7601965353766,"Median"
4,30,36.6787755234165,285.610647975697,42.8715349078968,92.6736011993646,217.61383868195,263.352685253699,135.693452007864,2023,2023-04-30,"Sabinal",99.7601965353766,"Median"
5,1,36.6787755234165,303.887299397224,42.8715349078968,92.6736011993646,222.938023819745,263.352685253699,135.75845092816,2023,2023-05-01,"Sabinal",99.7601965353766,"Median"
5,2,36.9035724725046,303.887299397224,43.2455608406735,92.6845440515337,222.938023819745,265.502238152297,139.574069727443,2023,2023-05-02,"Sabinal",99.8039679440534,"Median"
5,3,36.9035724725046,303.887299397224,43.2455608406735,92.6910670806496,222.938023819745,271.309826108238,146.226646218954,2023,2023-05-03,"Sabinal",99.8039679440534,"Median"
5,4,36.9035724725046,303.887299397224,43.2503180084963,100.965592719319,223.458334503388,271.578453769029,162.052650153262,2023,2023-05-04,"Sabinal",99.9064340690275,"Median"
5,5,36.9035724725046,303.887299397224,44.4382133079063,101.035545685024,223.458334503388,272.094430075014,162.053312662585,2023,2023-05-05,"Sabinal",99.9974658940453,"Median"
5,6,36.9035724725046,303.887299397224,44.4475152016622,101.063918754237,224.63314475857,273.142445443569,162.073650129257,2023,2023-05-06,"Sabinal",100.005855677496,"Median"
5,7,37.8581698342235,304.099151708404,44.4529919047379,101.521353748687,224.633254611629,273.463950872764,162.073650129257,2023,2023-05-07,"Sabinal",100.584081375099,"Median"
5,8,37.8581698342235,304.224841915596,44.4625652194856,101.766155659712,247.77028094482,283.06320820002,179.000497787508,2023,2023-05-08,"Sabinal",100.910483923132,"Median"
5,9,37.889930118491,304.275723789693,54.8564710087791,104.898441648891,258.657969410543,283.59644509222,179.008226544767,2023,2023-05-09,"Sabinal",151.4225588244,"Median"
5,10,37.9103644211095,310.003152541582,54.8564710087791,104.898441648891,262.408714007033,300.25987014223,179.008226544767,2023,2023-05-10,"Sabinal",151.4225588244,"Median"
5,11,37.9473954553475,314.35522801374,54.8564710087791,104.898441648891,266.366982167155,301.984382478283,179.008226544767,2023,2023-05-11,"Sabinal",151.42305799162,"Median"
5,12,42.8765278868883,336.741294107363,56.5086807869217,104.899816280018,266.566133378163,309.837066253086,179.0118210506,2023,2023-05-12,"Sabinal",151.623563793223,"Median"
5,13,42.8765278868883,381.08464293806,60.0745972284871,107.708325561266,266.566133378163,309.872335978973,190.367148436245,2023,2023-05-13,"Sabinal",189.779213822079,"Median"
5,14,44.1818828450744,381.651382139513,65.3111925777354,107.71018978565,279.334541407765,313.790520579435,192.50673465904,2023,2023-05-14,"Sabinal",189.779213822079,"Median"
5,15,44.1818828450744,431.941386688593,65.8093590523587,107.71018978565,286.169924689332,331.023027843369,200.402895495983,2023,2023-05-15,"Sabinal",196.243787319659,"Median"
5,16,44.1818828450744,431.995283355673,66.0651408322201,112.863106797752,288.950843548346,333.796205050749,207.827905469317,2023,2023-05-16,"Sabinal",207.96023668505,"Median"
5,17,44.1818828450744,460.108683475654,66.0651408322201,120.567023586684,289.433841379828,333.796205050749,208.051328700936,2023,2023-05-17,"Sabinal",208.407083148287,"Median"
5,18,44.1818828450744,460.108683475654,66.0651408322201,120.577867413031,298.792032082167,340.084531362473,208.051328700936,2023,2023-05-18,"Sabinal",208.407083148287,"Median"
5,19,44.1818828450744,460.520052204692,66.0651408322201,120.679469433561,299.754827530898,343.282588555243,208.051328700936,2023,2023-05-19,"Sabinal",208.407083148287,"Median"
5,20,44.1818828450744,460.52205162246,66.0651408322201,120.793251370966,299.763375583634,343.282588555243,217.01902232636,2023,2023-05-20,"Sabinal",226.342470399136,"Median"
5,21,44.1818828450744,476.011982089459,66.0652818238649,120.796406495609,304.757845886984,343.282588555243,220.70922978662,2023,2023-05-21,"Sabinal",244.466446577562,"Median"
5,22,44.1818828450744,476.018068103911,66.0680834553764,123.971861252792,304.798695078349,343.282588555243,221.450035655796,2023,2023-05-22,"Sabinal",244.466446577562,"Median"
5,23,44.1818828450744,509.260242155748,66.6915852639252,129.07765622537,304.798695078349,343.282592763408,222.152526091239,2023,2023-05-23,"Sabinal",244.466446577562,"Median"
5,24,44.1818828450744,580.859340825393,66.6915852639252,130.474930911509,304.798695078349,353.35365774428,229.374309810354,2023,2023-05-24,"Sabinal",244.517425345145,"Median"
5,25,44.1818828450744,582.957060654067,87.7795830942574,131.530712474845,306.045604259162,364.594022081025,229.738370440084,2023,2023-05-25,"Sabinal",258.590470318375,"Median"
5,26,44.1818828450744,582.957060654067,87.7795830942574,155.282125020373,307.267412355853,365.093208291718,248.953076750204,2023,2023-05-26,"Sabinal",259.670758318445,"Median"
5,27,44.1933025078144,583.191350317234,87.7795830942574,157.907171997095,307.267522479128,365.144647247169,248.962394383951,2023,2023-05-27,"Sabinal",269.859303673642,"Median"
5,28,58.6873691146362,583.924275601447,87.7795830942574,163.60032346717,315.609735027604,365.144861556722,251.845924136133,2023,2023-05-28,"Sabinal",281.479953346738,"Median"
5,29,58.6873691146362,616.483919008534,87.7795830942574,166.653396346004,315.651390992147,400.869634494066,263.355760689381,2023,2023-05-29,"Sabinal",287.484161749325,"Median"
5,30,58.7009623984304,621.681190451155,87.7795830942574,166.736007805634,315.651773271795,400.869634494066,268.461670211707,2023,2023-05-30,"Sabinal",297.65429760688,"Median"
5,31,58.7023723148789,621.681190451155,87.7795830942574,166.736007805634,319.489706777091,400.869634494066,268.515924863525,2023,2023-05-31,"Sabinal",297.65429760688,"Median"
6,1,63.0787208256823,621.681190451155,87.7864942867455,166.736007805634,335.445960978461,400.869634494066,272.877301776573,2023,2023-06-01,"Sabinal",297.728956332702,"Median"
6,2,63.0787208256823,621.681190451155,87.7864942867455,166.736007805634,335.445960978461,400.869634494066,272.877301776573,2023,2023-06-02,"Sabinal",297.728956332702,"Median"
6,3,63.0787208256823,621.681190451155,88.1180952786407,177.438577305905,335.678566731804,401.58030114203,276.269592075042,2023,2023-06-03,"Sabinal",307.796391184773,"Median"
6,4,63.0787208256823,621.681190451155,91.8574557132053,177.438577305905,340.597455405847,408.955062001272,283.453644747928,2023,2023-06-04,"Sabinal",335.078346724511,"Median"
6,5,63.0787208256823,621.681190451155,91.8574557132053,196.813142241409,341.419549893429,415.655579492238,283.465837787063,2023,2023-06-05,"Sabinal",338.366724674838,"Median"
6,6,63.0787208256823,621.681190451155,91.8574557132053,199.553445531873,341.711865286719,415.655579492238,285.239784101435,2023,2023-06-06,"Sabinal",338.48392222563,"Median"
6,7,63.0819092560794,621.681190451155,91.8574557132053,201.494312148015,342.386196431427,415.655579492238,285.810779480052,2023,2023-06-07,"Sabinal",341.181246804466,"Median"
6,8,63.0819092560794,621.681190451155,91.8574557132053,201.494312148015,346.562702697315,415.920340673861,285.865634278838,2023,2023-06-08,"Sabinal",341.285018121616,"Median"
6,9,63.0819092560794,621.681190451155,91.8847981875018,201.494312148015,346.579860291858,420.752936883781,286.157092094398,2023,2023-06-09,"Sabinal",341.293011428994,"Median"
6,10,63.0819092560794,621.681190451155,91.8847981875018,202.405571865068,346.579860291858,420.822237177386,287.37415266935,2023,2023-06-10,"Sabinal",341.479869166637,"Median"
6,11,63.0819092560794,621.681190451155,91.8847981875018,202.405571865068,346.579860291858,420.822237177386,288.421336275198,2023,2023-06-11,"Sabinal",341.479869166637,"Median"
6,12,63.0819092560794,621.681190451155,91.8847981875018,202.405571865068,346.579860291858,420.822237177386,288.596189484336,2023,2023-06-12,"Sabinal",341.479869166637,"Median"
6,13,63.0819092560794,621.681190451155,91.8847981875018,203.653868921568,346.579860291858,435.59863633593,293.97112965141,2023,2023-06-13,"Sabinal",341.479869166637,"Median"
6,14,63.0819092560794,639.448001649756,91.8847981875018,204.234389061042,346.579860291858,435.59863633593,298.029259986318,2023,2023-06-14,"Sabinal",341.479869166637,"Median"
6,15,63.0819092560794,641.00189300622,91.8847981875018,206.658210587871,346.615042878497,435.810766854689,309.646940855616,2023,2023-06-15,"Sabinal",341.479869166637,"Median"
6,16,63.0819092560794,647.992866092217,91.8847981875018,206.707564617608,347.649539998286,435.810766854689,309.946998898098,2023,2023-06-16,"Sabinal",341.479869166637,"Median"
6,17,63.2727006953042,652.960291883339,91.8847981875018,206.84955954423,348.089953756732,435.827117669238,310.057964579134,2023,2023-06-17,"Sabinal",341.479869166637,"Median"
6,18,63.2727006953042,665.034104406247,92.0980026525321,208.222572030043,349.469811046329,435.827117669238,310.351230461917,2023,2023-06-18,"Sabinal",341.479869166637,"Median"
6,19,63.2727006953042,692.647296906183,92.0980026525321,208.236182211327,349.534829057196,435.827117669238,313.461256226893,2023,2023-06-19,"Sabinal",341.479869166637,"Median"
6,20,63.2727006953042,707.473570769472,93.0775975909885,208.680125169968,349.562938774231,435.827117669238,313.461256226893,2023,2023-06-20,"Sabinal",342.69488421042,"Median"
6,21,63.2727006953042,713.208341735403,93.1411758947405,208.680125169968,349.908791595338,435.827117669238,313.461256226893,2023,2023-06-21,"Sabinal",343.896813410208,"Median"
6,22,87.9779779861146,721.660829150632,94.6366732940171,208.680125169968,351.84872858388,435.827117669238,319.439687985403,2023,2023-06-22,"Sabinal",350.637276325603,"Median"
6,23,87.9779779861146,721.6629743196,94.6442909075243,208.680125169968,356.075499986613,435.827117669238,319.450146809066,2023,2023-06-23,"Sabinal",350.637276325603,"Median"
6,24,90.2064831267658,723.767941116587,94.6442909075243,208.680125169968,356.106084163834,435.832975360235,319.834613089646,2023,2023-06-24,"Sabinal",350.637276325603,"Median"
6,25,90.5929807520522,723.767941116587,94.6442909075243,208.71705922566,356.88024834713,446.693731329433,321.50733945866,2023,2023-06-25,"Sabinal",350.639508547537,"Median"
6,26,90.8464586073859,723.767941116587,94.6442909075243,210.182524005895,363.111037448619,447.148989029253,326.610011600134,2023,2023-06-26,"Sabinal",350.639508547537,"Median"
6,27,90.8464586073859,726.013691898716,99.3557260384134,211.840257595571,373.064499201185,448.73776763814,336.80674423839,2023,2023-06-27,"Sabinal",350.639508547537,"Median"
6,28,90.8464586073859,729.618727284837,101.134276999727,212.373974597037,374.008962035425,457.281886738111,339.954545105708,2023,2023-06-28,"Sabinal",350.639508547537,"Median"
6,29,90.8464586073859,729.618727284837,101.790988647068,213.763879994163,374.008962035425,505.395823366526,341.274626422858,2023,2023-06-29,"Sabinal",350.639508547537,"Median"
6,30,91.81590925881,730.533346664505,101.822835338098,221.70620170136,378.853472104,545.49646628716,341.816014960849,2023,2023-06-30,"Sabinal",350.644512758636,"Median"
7,1,92.7137485788069,730.752379559122,103.119571235775,205.834448856028,384.000451629036,555.019183590559,336.533934234008,2023,2023-07-01,"Sabinal",350.685203501899,"Median"
7,2,92.7137485788069,731.350366578022,114.274293517877,205.834448856028,433.187093394455,555.019183590559,352.269315656036,2023,2023-07-02,"Sabinal",374.320252936199,"Median"
7,3,92.7213727756154,731.373799087087,123.493551382836,205.834448856028,435.065197208321,555.019183590559,352.354243562372,2023,2023-07-03,"Sabinal",374.445325590759,"Median"
