grib_id,hrap_x,hrap_y
173149,515,155
173150,516,155
173151,517,155
173152,518,155
173153,519,155
173154,520,155
173155,521,155
173156,522,155
173157,523,155
173158,524,155
173159,525,155
173160,526,155
173161,527,155
173162,528,155
173163,529,155
173164,530,155
173165,531,155
173166,532,155
173167,533,155
173168,534,155
173169,535,155
173170,536,155
173171,537,155
173172,538,155
173173,539,155
173174,540,155
173175,541,155
173176,542,155
173177,543,155
173178,544,155
173179,545,155
173180,546,155
173181,547,155
173182,548,155
173183,549,155
173184,550,155
173185,551,155
173186,552,155
173187,553,155
173188,554,155
173189,555,155
173190,556,155
173191,557,155
173192,558,155
173193,559,155
173194,560,155
173195,561,155
173196,562,155
173197,563,155
173198,564,155
173199,565,155
173200,566,155
173201,567,155
173202,568,155
173203,569,155
173204,570,155
173205,571,155
173206,572,155
174270,515,156
174271,516,156
174272,517,156
174273,518,156
174274,519,156
174275,520,156
174276,521,156
174277,522,156
174278,523,156
174279,524,156
174280,525,156
174281,526,156
174282,527,156
174283,528,156
174284,529,156
174285,530,156
174286,531,156
174287,532,156
174288,533,156
174289,534,156
174290,535,156
174291,536,156
174292,537,156
174293,538,156
174294,539,156
174295,540,156
174296,541,156
174297,542,156
174298,543,156
174299,544,156
174300,545,156
174301,546,156
174302,547,156
174303,548,156
174304,549,156
174305,550,156
174306,551,156
174307,552,156
174308,553,156
174309,554,156
174310,555,156
174311,556,156
174312,557,156
174313,558,156
174314,559,156
174315,560,156
174316,561,156
174317,562,156
174318,563,156
174319,564,156
174320,565,156
174321,566,156
174322,567,156
174323,568,156
174324,569,156
174325,570,156
174326,571,156
174327,572,156
174328,573,156
175391,515,157
175392,516,157
175393,517,157
175394,518,157
175395,519,157
175396,520,157
175397,521,157
175398,522,157
175399,523,157
175400,524,157
175401,525,157
175402,526,157
175403,527,157
175404,528,157
175405,529,157
175406,530,157
175407,531,157
175408,532,157
175409,533,157
175410,534,157
175411,535,157
175412,536,157
175413,537,157
175414,538,157
175415,539,157
175416,540,157
175417,541,157
175418,542,157
175419,543,157
175420,544,157
175421,545,157
175422,546,157
175423,547,157
175424,548,157
175425,549,157
175426,550,157
175427,551,157
175428,552,157
175429,553,157
175430,554,157
175431,555,157
175432,556,157
175433,557,157
175434,558,157
175435,559,157
175436,560,157
175437,561,157
175438,562,157
175439,563,157
175440,564,157
175441,565,157
175442,566,157
175443,567,157
175444,568,157
175445,569,157
175446,570,157
175447,571,157
175448,572,157
175449,573,157
176512,515,158
176513,516,158
176514,517,158
176515,518,158
176516,519,158
176517,520,158
176518,521,158
176519,522,158
176520,523,158
176521,524,158
176522,525,158
176523,526,158
176524,527,158
176525,528,158
176526,529,158
176527,530,158
176528,531,158
176529,532,158
176530,533,158
176531,534,158
176532,535,158
176533,536,158
176534,537,158
176535,538,158
176536,539,158
176537,540,158
176538,541,158
176539,542,158
176540,543,158
176541,544,158
176542,545,158
176543,546,158
176544,547,158
176545,548,158
176546,549,158
176547,550,158
176548,551,158
176549,552,158
176550,553,158
176551,554,158
176552,555,158
176553,556,158
176554,557,158
176555,558,158
176556,559,158
176557,560,158
176558,561,158
176559,562,158
176560,563,158
176561,564,158
176562,565,158
176563,566,158
176564,567,158
176565,568,158
176566,569,158
176567,570,158
176568,571,158
176569,572,158
176570,573,158
176571,574,158
177633,515,159
177634,516,159
177635,517,159
177636,518,159
177637,519,159
177638,520,159
177639,521,159
177640,522,159
177641,523,159
177642,524,159
177643,525,159
177644,526,159
177645,527,159
177646,528,159
177647,529,159
177648,530,159
177649,531,159
177650,532,159
177651,533,159
177652,534,159
177653,535,159
177654,536,159
177655,537,159
177656,538,159
177657,539,159
177658,540,159
177659,541,159
177660,542,159
177661,543,159
177662,544,159
177663,545,159
177664,546,159
177665,547,159
177666,548,159
177667,549,159
177668,550,159
177669,551,159
177670,552,159
177671,553,159
177672,554,159
177673,555,159
177674,556,159
177675,557,159
177676,558,159
177677,559,159
177678,560,159
177679,561,159
177680,562,159
177681,563,159
177682,564,159
177683,565,159
177684,566,159
177685,567,159
177686,568,159
177687,569,159
177688,570,159
177689,571,159
177690,572,159
177691,573,159
177692,574,159
177693,575,159
178754,515,160
178755,516,160
178756,517,160
178757,518,160
178758,519,160
178759,520,160
178760,521,160
178761,522,160
178762,523,160
178763,524,160
178764,525,160
178765,526,160
178766,527,160
178767,528,160
178768,529,160
178769,530,160
178770,531,160
178771,532,160
178772,533,160
178773,534,160
178774,535,160
178775,536,160
178776,537,160
178777,538,160
178778,539,160
178779,540,160
178780,541,160
178781,542,160
178782,543,160
178783,544,160
178784,545,160
178785,546,160
178786,547,160
178787,548,160
178788,549,160
178789,550,160
178790,551,160
178791,552,160
178792,553,160
178793,554,160
178794,555,160
178795,556,160
178796,557,160
178797,558,160
178798,559,160
178799,560,160
178800,561,160
178801,562,160
178802,563,160
178803,564,160
178804,565,160
178805,566,160
178806,567,160
178807,568,160
178808,569,160
178809,570,160
178810,571,160
178811,572,160
178812,573,160
178813,574,160
178814,575,160
178815,576,160
179875,515,161
179876,516,161
179877,517,161
179878,518,161
179879,519,161
179880,520,161
179881,521,161
179882,522,161
179883,523,161
179884,524,161
179885,525,161
179886,526,161
179887,527,161
179888,528,161
179889,529,161
179890,530,161
179891,531,161
179892,532,161
179893,533,161
179894,534,161
179895,535,161
179896,536,161
179897,537,161
179898,538,161
179899,539,161
179900,540,161
179901,541,161
179902,542,161
179903,543,161
179904,544,161
179905,545,161
179906,546,161
179907,547,161
179908,548,161
179909,549,161
179910,550,161
179911,551,161
179912,552,161
179913,553,161
179914,554,161
179915,555,161
179916,556,161
179917,557,161
179918,558,161
179919,559,161
179920,560,161
179921,561,161
